scenario_source,scenario,sector,region,year,emission_factor_unit,emission_factor
etp_2017,b2ds,steel,global,2014,tonnes CO2 (scope 1 & 2) per tonnes crude steel,1.807598461309858
etp_2017,b2ds,steel,global,2015,tonnes CO2 (scope 1 & 2) per tonnes crude steel,1.7458845006452073
etp_2017,b2ds,steel,global,2016,tonnes CO2 (scope 1 & 2) per tonnes crude steel,1.6841705399805567
etp_2017,b2ds,steel,global,2017,tonnes CO2 (scope 1 & 2) per tonnes crude steel,1.622456579315906
etp_2017,b2ds,steel,global,2018,tonnes CO2 (scope 1 & 2) per tonnes crude steel,1.5607426186512552
etp_2017,b2ds,steel,global,2019,tonnes CO2 (scope 1 & 2) per tonnes crude steel,1.4990286579866046
etp_2017,b2ds,steel,global,2020,tonnes CO2 (scope 1 & 2) per tonnes crude steel,1.437314697321954
etp_2017,b2ds,steel,global,2021,tonnes CO2 (scope 1 & 2) per tonnes crude steel,1.3756007366573033
etp_2017,b2ds,steel,global,2022,tonnes CO2 (scope 1 & 2) per tonnes crude steel,1.3138867759926525
etp_2017,b2ds,steel,global,2023,tonnes CO2 (scope 1 & 2) per tonnes crude steel,1.2521728153280018
etp_2017,b2ds,steel,global,2024,tonnes CO2 (scope 1 & 2) per tonnes crude steel,1.1904588546633512
etp_2017,b2ds,steel,global,2025,tonnes CO2 (scope 1 & 2) per tonnes crude steel,1.1287448939987006
etp_2017,b2ds,steel,global,2026,tonnes CO2 (scope 1 & 2) per tonnes crude steel,1.0779037625720316
etp_2017,b2ds,steel,global,2027,tonnes CO2 (scope 1 & 2) per tonnes crude steel,1.0270626311453623
etp_2017,b2ds,steel,global,2028,tonnes CO2 (scope 1 & 2) per tonnes crude steel,0.9762214997186933
etp_2017,b2ds,steel,global,2029,tonnes CO2 (scope 1 & 2) per tonnes crude steel,0.9253803682920243
etp_2017,b2ds,steel,global,2030,tonnes CO2 (scope 1 & 2) per tonnes crude steel,0.8745392368653552
etp_2017,b2ds,steel,global,2031,tonnes CO2 (scope 1 & 2) per tonnes crude steel,0.826392014662042
etp_2017,b2ds,steel,global,2032,tonnes CO2 (scope 1 & 2) per tonnes crude steel,0.778244792458729
etp_2017,b2ds,steel,global,2033,tonnes CO2 (scope 1 & 2) per tonnes crude steel,0.7300975702554159
etp_2017,b2ds,steel,global,2034,tonnes CO2 (scope 1 & 2) per tonnes crude steel,0.6819503480521028
etp_2017,b2ds,steel,global,2035,tonnes CO2 (scope 1 & 2) per tonnes crude steel,0.6338031258487897
etp_2017,b2ds,steel,global,2036,tonnes CO2 (scope 1 & 2) per tonnes crude steel,0.6063298648626001
etp_2017,b2ds,steel,global,2037,tonnes CO2 (scope 1 & 2) per tonnes crude steel,0.5788566038764105
